iter	Logloss
0	0.6791718192
1	0.6671645142
2	0.6552500864
3	0.643032623
4	0.6307253144
5	0.6214234591
6	0.6091325129
7	0.5985638279
8	0.5871196546
9	0.5774014804
10	0.5672550388
11	0.5570498882
12	0.5493435307
13	0.5404054393
14	0.5317953627
15	0.5229064005
16	0.5144259933
17	0.5057317472
18	0.4966974266
19	0.4881101125
20	0.4816292309
21	0.4737615694
22	0.465915793
23	0.4589690908
24	0.4507987596
25	0.4421782355
26	0.4358825137
27	0.4301079918
28	0.4223772572
29	0.4147301287
30	0.4069060085
31	0.4015518904
32	0.3961693026
33	0.3905368836
34	0.3838962361
35	0.3778608251
36	0.3712766038
37	0.3666144947
38	0.3605762795
39	0.3545060298
40	0.3497469742
41	0.3437603867
42	0.3392709782
43	0.33518969
44	0.3296581591
45	0.3242889738
46	0.3200903926
47	0.3147901361
48	0.3104812018
49	0.3069327101
50	0.3031810636
51	0.299598771
52	0.2955952993
53	0.2915708962
54	0.2877453894
55	0.2842974761
56	0.2802708476
57	0.2774068152
58	0.2732403712
59	0.2690669656
60	0.2649113741
61	0.2614050753
62	0.2578988953
63	0.2542831725
64	0.2511445324
65	0.2479282596
66	0.2441916074
67	0.2407082207
68	0.2380962064
69	0.2353039015
70	0.2318804029
71	0.2288977634
72	0.2257423889
73	0.2228165965
74	0.2198332543
75	0.2172536351
76	0.2144335952
77	0.2117229779
78	0.2090243493
79	0.2069959577
80	0.2042041535
81	0.2016442648
82	0.1992382527
83	0.1971511656
84	0.1952936677
85	0.1930777527
86	0.191074426
87	0.1890087192
88	0.1867640982
89	0.1847300956
90	0.1829354366
91	0.1804162159
92	0.1788076838
93	0.1768421138
94	0.1748016295
95	0.1726951829
96	0.1713917561
97	0.1698000074
98	0.1684330277
99	0.1665136541
100	0.1652024409
101	0.1636464023
102	0.1618940807
103	0.1600889206
104	0.1584975203
105	0.1568529353
106	0.1549122105
107	0.1536241787
108	0.1523478095
109	0.1507390718
110	0.1491308738
111	0.147707435
112	0.1462095255
113	0.1446662276
114	0.1429779124
115	0.1417106852
116	0.1403969366
117	0.1391182216
118	0.1377373459
119	0.1364934609
120	0.1350148888
121	0.1337015127
122	0.1324324779
123	0.1312489881
124	0.1300217806
125	0.1288475889
126	0.1278333594
127	0.1267136214
128	0.1255095589
129	0.1242065933
130	0.1231424058
131	0.1223739701
132	0.1214395393
133	0.1206357705
134	0.1198210074
135	0.1187957508
136	0.1175793295
137	0.1165532329
138	0.1157685781
139	0.114780656
140	0.1134563377
141	0.1126884362
142	0.1118358436
143	0.1107949128
144	0.1102178296
145	0.1091022346
146	0.1081733824
147	0.1072191358
148	0.1065068245
149	0.1057703118
150	0.1048768973
151	0.1039407584
152	0.1031350597
153	0.1023873288
154	0.1014791906
155	0.1006034089
156	0.09982366302
157	0.0989577917
158	0.09792856644
159	0.09714009957
160	0.09645338316
161	0.09554530076
162	0.09487096319
163	0.09414274558
164	0.09348079687
165	0.09266558777
166	0.09207519798
167	0.09122209347
168	0.09056260789
169	0.08988262088
170	0.0893728148
171	0.08876191758
172	0.08813954751
173	0.08746606879
174	0.08678999646
175	0.08610369703
176	0.08541433831
177	0.08465637068
178	0.08405353252
179	0.08342160163
180	0.08304339523
181	0.0827185707
182	0.08217983784
183	0.08153384721
184	0.08080446554
185	0.08023046112
186	0.07951703853
